District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Female_ST,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,0,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,119345,158239,124682,117753,82297,51043,9111,662470,369869,1032339,630194,265813,176320,1977
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,0,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,155839,231354,188040,183590,124790,101387,19186,1004186,429220,1433406,884972,380409,234684,5259
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,0,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,118873,170565,143466,141473,91756,75774,10977,752884,296212,1049096,739075,298764,167244,354
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,0,142344,101733,18184,260918,1390149,45100,1405,4484,336,6033,29,138489,200458,182396,224639,150760,101186,19261,1017189,344813,1362002,855201,360216,233318,1266
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,0,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,136892,185626,151682,154773,107994,64599,14277,815843,419624,1235467,784085,335704,213478,885
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,0,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,103541,136663,99948,93526,61476,37741,9504,542399,344534,886933,555745,237009,147469,1788
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,0,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,141766,201349,153263,134559,83373,61620,16698,792628,412353,1204981,750228,334344,208185,2432
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,0,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1599018,1017830,456536,265109,4456
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,0,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,186145,223049,198307,218631,148995,104875,13786,1093788,459364,1553152,964960,405760,261428,2297
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,0,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,117097,150903,140782,168499,109596,100346,21134,808357,248795,1057152,605741,269354,185685,424
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,0,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,90737,109829,115794,145258,97457,58826,9387,627288,201028,828316,549975,245095,162356,979
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,0,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,94273,135849,126291,132765,94245,60296,10353,654072,245602,899674,530000,229392,161258,1438
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,0,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,81280,120860,122617,139646,95807,65143,9820,635173,206827,842000,518747,230704,150557,324
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,0,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,126920,177453,175370,219200,150120,233402,41366,1123831,263720,1387551,875531,428101,210307,493
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,0,104237,55278,6023,124426,221846,862647,1235,592,516,1453,4,125261,135842,67299,41836,22265,12453,5527,410483,619284,1029767,790930,186916,110688,729
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,0,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,137902,220384,198551,282666,178846,259933,27864,1306146,346567,1652713,1095602,481318,231029,1784
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,0,91506,60685,8566,148806,826342,208566,932,3971,345,915,20,125474,142156,113940,102626,65963,43780,8373,602312,393825,996137,684189,224043,133913,563
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,0,11433,13289,35896,1127927,3211042,291330,14100,92129,2281,43460,345,228507,571255,607092,613393,519808,465677,22436,3028168,416720,3444888,2138591,1013424,503055,1469
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,0,2187,1791,11028,281440,726443,119792,7256,19066,1824,13049,81,58952,133915,142788,126121,97744,107099,11098,677717,125277,802994,506601,256501,124513,363
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,0,2235,2406,30738,626007,1529337,657585,9123,17424,2388,24673,48,206524,500493,488767,341540,212438,122983,9199,1881944,257966,2139910,1393078,581016,264663,2867
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,0,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,86484,219061,260094,267825,235187,246988,18644,1334283,169693,1503976,948963,497157,262124,1102
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,0,121,275,1030,58115,124482,8480,4852,2933,312,679,66,4641,11728,15326,15942,17742,23934,2186,91499,10098,101597,76076,43913,21773,242
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,0,597,601,10902,195274,364148,194278,3527,13038,362,5886,107,34122,80924,96755,83244,62124,80251,6097,443517,87286,530803,317650,169533,94448,689
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,0,2952,4358,29022,837988,2087294,149807,18337,271752,1993,11322,273,157606,318376,365913,369114,327114,440295,54376,2032794,308139,2340933,1399165,732515,408953,2610
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,0,9733,7753,18614,759252,2102743,112691,31226,31692,2784,9215,266,152945,255177,313817,335645,308513,400800,47723,1814620,278832,2093452,1296955,683209,308675,4119
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,0,2984,5908,25081,890420,2155759,445914,41880,69520,3862,11020,645,191659,368772,400595,430091,354078,458858,52503,2256556,328287,2584843,1588001,785085,355602,3241
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,6317,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,237042,314107,238397,163098,105734,104071,19396,1181845,710223,1892068,1167889,502211,283484,15584
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,6711,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,239601,273441,219194,153628,104087,84185,14416,1088552,723454,1812006,1058044,453114,242361,21173
